treatmentId	accordingTo	scientificName
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name_HMW	Anoura caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name_batnames	Anoura caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name_GBIF	Anoura caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name MDD	Anoura caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L14	name_MSW4	Anoura caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name_HMW	Anoura cultrata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name_batnames	Anoura cultrata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name_GBIF	Anoura cultrata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name MDD	Anoura cultrata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L15	name_MSW4	Anoura cultrata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L16	name_HMW	Anoura fistulata
