treatmentId	Name_MSW3	Name_HMW	Name_BatNames	Name_MDD	Name_IUCN	Name_BatNames_2023
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1045.tsv	Pipistrellus endoi	Pipistrellus endoi	Pipistrellus endoi	Pipistrellus endoi	Pipistrellus endoi	Pipistrellus endoi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1046.tsv	Pipistrellus hesperidus	Pipistrellus hesperidus	Pipistrellus hesperidus	Pipistrellus hesperidus	Pipistrellus hesperidus	Pipistrellus hesperidus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1047.tsv	Pipistrellus inexspectatus	Pipistrellus inexspectatus	Pipistrellus inexspectatus	Pipistrellus inexspectatus	Pipistrellus inexspectatus	Pipistrellus inexspectatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1048.tsv	Pipistrellus javanicus	Pipistrellus javanicus	Pipistrellus javanicus	Pipistrellus javanicus	Pipistrellus javanicus	Pipistrellus javanicus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1049.tsv	Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus kuhlii
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L105.tsv	Chaerephon bregullae	Chaerephon bregullae	Mops bregullae	Mops bregullae	Chaerephon bregullae	Mops bregullae
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1050.tsv	Pipistrellus maderensis	Pipistrellus maderensis	Pipistrellus maderensis	Pipistrellus maderensis	Pipistrellus maderensis	Pipistrellus maderensis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1051.tsv	Pipistrellus nanulus	Pipistrellus nanulus	Pipistrellus nanulus	Pipistrellus nanulus	Pipistrellus nanulus	Pipistrellus nanulus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1052.tsv	Pipistrellus nathusii	Pipistrellus nathusii	Pipistrellus nathusii	Pipistrellus nathusii	Pipistrellus nathusii	Pipistrellus nathusii
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1053.tsv	Pipistrellus permixtus	Pipistrellus permixtus	Pipistrellus permixtus	Pipistrellus permixtus	Pipistrellus permixtus	Pipistrellus permixtus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1054.tsv	Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus pipistrellus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1055.tsv		Pipistrellus pipistrellus aladdin	synonym of Pipistrellus pipistrellus	synonym of Pipistrellus pipistrellus	Pipistrellus aladdin	
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1056.tsv	Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus pygmaeus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1057.tsv		Pipistrellus raceyi	Pipistrellus raceyi	Pipistrellus raceyi	Pipistrellus raceyi	Pipistrellus raceyi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1058.tsv	Pipistrellus stenopterus	Pipistrellus stenopterus	Pipistrellus stenopterus	Pipistrellus stenopterus	Pipistrellus stenopterus	Pipistrellus stenopterus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1059.tsv	Pipistrellus sturdeei	Pipistrellus sturdeei	Pipistrellus sturdeei	Pipistrellus sturdeei	Pipistrellus sturdeei	Pipistrellus sturdeei
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L106.tsv	Chaerephon chapini	Chaerephon chapini	Mops chapini	Mops chapini	Chaerephon chapini	Mops chapini
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1060.tsv	Pipistrellus tenuis	Pipistrellus tenuis	Pipistrellus tenuis	Pipistrellus tenuis	Pipistrellus tenuis	Pipistrellus tenuis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1061.tsv		Pipistrellus murrayi?	Pipistrellus tenuis murrayi	Pipistrellus murrayi (extinct)	Pipistrellus murrayi	Pipistrellus murrayi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1062.tsv	Pipistrellus aero	Pipistrellus aero	Pipistrellus aero	Pipistrellus aero	Pipistrellus aero	Pipistrellus aero
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1063.tsv		Pipistrellus hanaki	Pipistrellus hanaki	Pipistrellus hanaki	Pipistrellus hanaki	Pipistrellus hanaki
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1064.tsv	Pipistrellus minahassae	Pipistrellus minahassae	Pipistrellus minahassae	Pipistrellus minahassae	Pipistrellus minahassae	Pipistrellus minahassae
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1065.tsv	Pipistrellus papuanus	Pipistrellus papuanus	Pipistrellus papuanus	Pipistrellus papuanus	Pipistrellus papuanus	Pipistrellus papuanus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1066.tsv	Pipistrellus paterculus	Pipistrellus paterculus	Pipistrellus paterculus	Pipistrellus paterculus	Pipistrellus paterculus	Pipistrellus paterculus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1067.tsv	Pipistrellus rusticus	Pipistrellus rusticus	Pipistrellus rusticus	Pipistrellus rusticus	Pipistrellus rusticus	Pipistrellus rusticus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1068.tsv	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1069.tsv	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L107.tsv		synonym of Chaerephon chapini	Mops shortridgei	synonym of Mops chapini		Mops shortridgei
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1070.tsv	Platalina genovensium	Platalina genovensium	Platalina genovensium	Platalina genovensium	Platalina genovensium	Platalina genovensium
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1071.tsv	Platymops setiger	Platymops setiger	Platymops setiger	Platymops setiger	Platymops setiger	Platymops setiger
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1072.tsv		Platyrriunus aquilus	Platyrrhinus aquilus	Platyrrhinus aquilus	Platyrrhinus aquilus	Platyrrhinus aquilus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1073.tsv	Platyrrhinus brachycephalus	Platyrrhinus brachycephalus	Platyrrhinus brachycephalus	Platyrrhinus brachycephalus	Platyrrhinus brachycephalus	Platyrrhinus brachycephalus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1074.tsv		Platyrrhinus albericoi	Platyrrhinus albericoi	Platyrrhinus albericoi	Platyrrhinus albericoi	Platyrrhinus albericoi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1075.tsv		Platyrrhinus angustirostris	Platyrrhinus angustirostris	Platyrrhinus angustirostris	Platyrrhinus angustirostris	Platyrrhinus angustirostris
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1076.tsv	Platyrrhinus aurarius	Platyrrhinus aurarius	Platyrrhinus aurarius	Platyrrhinus aurarius	Platyrrhinus aurarius	Platyrrhinus aurarius
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1077.tsv	Platyrrhinus chocoensis	Platyrrhinus chocoensis	synonym of Platyrrhinus dorsalis	synonym of Platyrrhinus dorsalis	Platyrrhinus chocoensis	
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1078.tsv	Platyrrhinus dorsalis	Platyrrhinus dorsalis	Platyrrhinus dorsalis	Platyrrhinus dorsalis	Platyrrhinus dorsalis	Platyrrhinus dorsalis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1079.tsv		Platyrrhinus fusciventris	Platyrrhinus fusciventris	Platyrrhinus fusciventris	Platyrrhinus fusciventris	Platyrrhinus fusciventris
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L108.tsv	Chaerephon gallagheri	Chaerephon gallagheri	Mops gallagheri	Mops gallagheri	Chaerephon gallagheri	Mops gallagheri
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1080.tsv		Platyrrhinus guianensis	Platyrrhinus guianensis	Platyrrhinus guianensis		Platyrrhinus guianensis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1081.tsv	Platyrrhinus helleri	Platyrrhinus helleri	Platyrrhinus helleri	Platyrrhinus helleri	Platyrrhinus helleri	Platyrrhinus helleri
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1082.tsv		Platyrrhinus incarum	Platyrrhinus incarum	Platyrrhinus incarum	Platyrrhinus incarum	Platyrrhinus incarum
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1083.tsv	Platyrrhinus infuscus	Platyrrhinus infuscus	Platyrrhinus infuscus	Platyrrhinus infuscus	Platyrrhinus infuscus	Platyrrhinus infuscus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1084.tsv		Platyrrhinus ismaeli	Platyrrhinus ismaeli	Platyrrhinus ismaeli	Platyrrhinus ismaeli	Platyrrhinus ismaeli
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1085.tsv	Platyrrhinus lineatus	Platyrrhinus lineatus	Platyrrhinus lineatus	Platyrrhinus lineatus	Platyrrhinus lineatus	Platyrrhinus lineatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1086.tsv	N/A	synonym of Platyrrhinus umbratus	synonym of Platyrrhinus umbratus	synonym of Platyrrhinus umbratus	Platyrrhinus nigellus	
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1087.tsv		Platyrrhinus masu	Platyrrhinus masu	Platyrrhinus masu	Platyrrhinus masu	Platyrrhinus masu
